"filename", "language", "Shell Script", "C", "Log", "C++", "Makefile", "comment", "blank", "total"
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/Makefile", "Makefile", 0, 0, 0, 0, 28, 0, 10, 38
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/analisi.sh", "Shell Script", 12, 0, 0, 0, 0, 1, 4, 17
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/cassa_log.log", "Log", 0, 0, 6, 0, 0, 0, 1, 7
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/cassiere.c", "C", 0, 108, 0, 0, 0, 13, 16, 137
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/cliente.c", "C", 0, 76, 0, 0, 0, 18, 14, 108
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/direttore.c", "C", 0, 98, 0, 0, 0, 8, 9, 115
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/header/cassiere.h", "C++", 0, 0, 0, 11, 0, 6, 6, 23
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/header/cliente.h", "C++", 0, 0, 0, 31, 0, 3, 8, 42
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/header/direttore.h", "C++", 0, 0, 0, 27, 0, 3, 7, 37
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/header/queue.h", "C++", 0, 0, 0, 20, 0, 29, 10, 59
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/header/supermercato.h", "C++", 0, 0, 0, 60, 0, 19, 13, 92
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/queue.c", "C", 0, 79, 0, 0, 0, 18, 14, 111
"/Users/vornao/Documents/Programmi C/SOL1920/ProgettoSOL/src/supermercato.c", "C", 0, 237, 0, 0, 0, 22, 30, 289
"Total", "-", 12, 598, 6, 149, 28, 140, 142, 1075
